ROS 	 Cost Events Processed 	 Events Rate (Hz) 	 wall Time (s) 	 #lbs 	 Requests 	 Retrievals 	 Retrievals/event 	 Request rate (Hz)	 Retrieval rate (Hz)	 Retrieved data (Kb/s)	 Time per ROS retrieval (ms) 	 Time per event (ms) 	 ROB/request 
ROS-LAR-EMECA-06 	 19835 	 7534.63 +/- 79.1367 	 5635.05 	 95 	 1.91734e+08 	 4.55365e+07 	 1.1 	 34025.3 +/- 348.8 	 8080.9 +/- 91.7 	 23190.9 +/- 231.7 	 0.0253269 	 0.0271633 	 2.8 
ROS-LAR-EMECC-01 	 20005 	 7551.57 +/- 72.5617 	 5635.05 	 95 	 1.89203e+08 	 4.51053e+07 	 1.1 	 33576.2 +/- 330.9 	 8004.4 +/- 76.9 	 23718.3 +/- 247.2 	 0.0393147 	 0.0416724 	 2.9 
ROS-LAR-EMECC-06 	 19608 	 7438.72 +/- 75.6174 	 5635.05 	 95 	 1.88863e+08 	 4.47284e+07 	 1.1 	 33515.8 +/- 327.4 	 7937.5 +/- 80.7 	 23301.4 +/- 260.2 	 0.0253953 	 0.0270982 	 2.8 
ROS-LAR-EMECA-01 	 19735 	 7414.29 +/- 70.4765 	 5635.05 	 95 	 1.8568e+08 	 4.3953e+07 	 1.1 	 32951.0 +/- 300.8 	 7799.9 +/- 74.1 	 22826.6 +/- 215.8 	 0.0325111 	 0.0342021 	 2.9 
ROS-LAR-EMECC-00 	 19031 	 7125.02 +/- 68.9537 	 5635.05 	 95 	 1.83794e+08 	 4.21796e+07 	 1.1 	 32616.2 +/- 336.5 	 7485.2 +/- 73.0 	 24348.4 +/- 257.9 	 0.0421173 	 0.0442465 	 2.8 
ROS-LAR-EMECA-00 	 18964 	 7059.58 +/- 63.9253 	 5635.05 	 95 	 1.84348e+08 	 4.15466e+07 	 1.0 	 32714.5 +/- 307.3 	 7372.9 +/- 67.2 	 24419.3 +/- 262.3 	 0.0319111 	 0.0333273 	 2.8 
ROS-TRT-ECA-05 	 13359 	 5093.54 +/- 54.3302 	 5635.05 	 95 	 5.83576e+07 	 3.28422e+07 	 1.1 	 10356.2 +/- 130.5 	 5828.2 +/- 66.5 	 28935.9 +/- 354.0 	 0.0147658 	 0.0168955 	 4.5 
ROS-TRT-ECC-05 	 13221 	 5096.38 +/- 57.8388 	 5635.05 	 95 	 5.66493e+07 	 3.27225e+07 	 1.1 	 10053.0 +/- 127.1 	 5807.0 +/- 68.7 	 29237.9 +/- 377.6 	 0.0148025 	 0.0168664 	 4.5 
ROS-MDT-ECA-01 	 10698 	 4957.06 +/- 72.1473 	 5635.05 	 95 	 8.31304e+07 	 3.25166e+07 	 1.2 	 14752.4 +/- 171.5 	 5770.4 +/- 81.5 	 5077.4 +/- 81.5 	 0.0139054 	 0.016187 	 2.3 
ROS-TRT-ECC-04 	 13167 	 5061 +/- 55.8777 	 5635.05 	 95 	 5.63553e+07 	 3.24879e+07 	 1.1 	 10000.8 +/- 126.3 	 5765.3 +/- 68.1 	 29524.3 +/- 401.2 	 0.0141806 	 0.0161541 	 4.6 
ROS-TRT-ECA-04 	 13084 	 5040.5 +/- 55.3494 	 5635.05 	 95 	 5.71013e+07 	 3.2417e+07 	 1.1 	 10133.2 +/- 136.2 	 5752.7 +/- 68.1 	 28758.1 +/- 384.0 	 0.0142741 	 0.0162911 	 4.5 
ROS-TRT-ECC-02 	 12537 	 4891.94 +/- 59.2617 	 5635.05 	 95 	 5.59491e+07 	 3.15463e+07 	 1.1 	 9928.8 +/- 137.5 	 5598.2 +/- 72.1 	 26748.6 +/- 372.3 	 0.0139274 	 0.0159382 	 4.2 
ROS-TRT-ECC-01 	 12276 	 4795.5 +/- 56.4912 	 5635.05 	 95 	 5.35163e+07 	 3.05265e+07 	 1.1 	 9497.1 +/- 135.2 	 5417.3 +/- 67.7 	 25909.6 +/- 334.5 	 0.0139866 	 0.0158 	 4.1 
ROS-TRT-ECC-03 	 12214 	 4705.68 +/- 53.5172 	 5635.05 	 95 	 5.38269e+07 	 3.02396e+07 	 1.1 	 9552.2 +/- 140.1 	 5366.3 +/- 66.0 	 25137.2 +/- 323.0 	 0.0142861 	 0.0162918 	 4.2 
ROS-TRT-ECA-01 	 12188 	 4682.03 +/- 52.6681 	 5635.05 	 95 	 5.34346e+07 	 2.99254e+07 	 1.1 	 9482.5 +/- 130.9 	 5310.6 +/- 64.7 	 24871.7 +/- 328.8 	 0.0140216 	 0.015904 	 4.2 
ROS-TRT-ECA-00 	 12207 	 4678.69 +/- 52.4877 	 5635.05 	 95 	 5.329e+07 	 2.98739e+07 	 1.1 	 9456.9 +/- 129.6 	 5301.4 +/- 64.0 	 25140.6 +/- 328.3 	 0.0147482 	 0.0167112 	 4.2 
ROS-MDT-ECA-03 	 9905 	 4537.18 +/- 68.8881 	 5635.05 	 95 	 7.62658e+07 	 2.98074e+07 	 1.2 	 13534.2 +/- 164.6 	 5289.6 +/- 77.8 	 4822.1 +/- 81.9 	 0.0147691 	 0.0172185 	 2.3 
ROS-TRT-ECC-00 	 11984 	 4665.52 +/- 56.9865 	 5635.05 	 95 	 5.24529e+07 	 2.96985e+07 	 1.1 	 9308.3 +/- 132.5 	 5270.3 +/- 67.2 	 26377.5 +/- 335.4 	 0.0148784 	 0.0168071 	 4.2 
ROS-TRT-ECA-03 	 11995 	 4608.15 +/- 52.7622 	 5635.05 	 95 	 5.32072e+07 	 2.95821e+07 	 1.1 	 9442.2 +/- 137.8 	 5249.7 +/- 65.1 	 23940.8 +/- 303.1 	 0.0142991 	 0.0162897 	 4.2 
ROS-TRT-ECA-02 	 12106 	 4648.06 +/- 52.5833 	 5635.05 	 95 	 5.34054e+07 	 2.95811e+07 	 1.1 	 9477.4 +/- 128.0 	 5249.5 +/- 64.2 	 24426.6 +/- 312.0 	 0.0140327 	 0.0158484 	 4.1 
ROS-MDT-ECC-03 	 8388 	 3983.93 +/- 70.9113 	 5635.05 	 95 	 6.52068e+07 	 2.60945e+07 	 1.2 	 11571.6 +/- 154.9 	 4630.7 +/- 78.9 	 4172.1 +/- 81.6 	 0.0144938 	 0.0168469 	 2.3 
ROS-MDT-ECC-01 	 8392 	 3933.31 +/- 66.9685 	 5635.05 	 95 	 6.53921e+07 	 2.59707e+07 	 1.2 	 11604.5 +/- 155.5 	 4608.8 +/- 75.6 	 4158.5 +/- 83.1 	 0.0150042 	 0.0175809 	 2.3 
ROS-RPC-BA-00 	 9687 	 4260.97 +/- 60.7086 	 5635.05 	 95 	 4.34197e+07 	 2.53217e+07 	 1.1 	 7705.3 +/- 100.5 	 4493.6 +/- 62.7 	 4354.6 +/- 60.2 	 0.0133032 	 0.0140295 	 1.0 
ROS-CSC-ECA-00 	 8271 	 4102.3 +/- 73.3562 	 5635.05 	 95 	 5.51994e+07 	 2.38659e+07 	 1.0 	 9795.7 +/- 132.4 	 4235.3 +/- 76.7 	 1549.1 +/- 44.6 	 0.0142727 	 0.0147353 	 1.1 
ROS-RPC-BC-00 	 8769 	 3895.39 +/- 62.5321 	 5635.05 	 95 	 4.08587e+07 	 2.29951e+07 	 1.0 	 7250.8 +/- 101.6 	 4080.7 +/- 64.1 	 3993.7 +/- 61.4 	 0.0103615 	 0.0108545 	 1.0 
ROS-MDT-ECA-00 	 7229 	 3335.41 +/- 60.4598 	 5635.05 	 95 	 5.64907e+07 	 2.26502e+07 	 1.2 	 10024.9 +/- 142.9 	 4019.5 +/- 69.9 	 3267.9 +/- 61.5 	 0.0148131 	 0.0178513 	 2.4 
ROS-MDT-ECA-02 	 6718 	 3131.22 +/- 58.6207 	 5635.05 	 95 	 5.23579e+07 	 2.12957e+07 	 1.2 	 9291.5 +/- 135.7 	 3779.1 +/- 67.4 	 2813.3 +/- 56.4 	 0.0225406 	 0.0272048 	 2.3 
ROS-MDT-BA-01 	 6663 	 2901.2 +/- 49.8734 	 5635.05 	 95 	 3.29511e+07 	 1.83499e+07 	 1.1 	 5847.5 +/- 95.7 	 3256.4 +/- 54.9 	 2239.9 +/- 39.9 	 0.0148557 	 0.0166744 	 2.0 
ROS-MDT-BA-00 	 6515 	 2875.09 +/- 49.1615 	 5635.05 	 95 	 3.23637e+07 	 1.82276e+07 	 1.1 	 5743.3 +/- 93.8 	 3234.7 +/- 54.0 	 2108.0 +/- 37.7 	 0.010626 	 0.011955 	 1.9 
ROS-RPC-BA-01 	 6639 	 3007.93 +/- 51.8362 	 5635.05 	 95 	 2.95821e+07 	 1.76056e+07 	 1.0 	 5249.7 +/- 84.5 	 3124.3 +/- 53.0 	 2875.6 +/- 48.2 	 0.0164047 	 0.0170394 	 1.0 
ROS-MDT-ECC-02 	 5428 	 2599.93 +/- 56.9977 	 5635.05 	 95 	 4.28029e+07 	 1.73531e+07 	 1.2 	 7595.8 +/- 125.6 	 3079.5 +/- 63.8 	 2393.0 +/- 54.1 	 0.012437 	 0.014731 	 2.2 
ROS-MDT-ECC-00 	 5322 	 2497.41 +/- 48.9999 	 5635.05 	 95 	 4.10505e+07 	 1.65666e+07 	 1.2 	 7284.9 +/- 119.7 	 2939.9 +/- 55.1 	 2327.5 +/- 47.0 	 0.0129464 	 0.0152404 	 2.2 
ROS-RPC-BC-01 	 6124 	 2766.23 +/- 52.1476 	 5635.05 	 95 	 2.84083e+07 	 1.6111e+07 	 1.0 	 5041.4 +/- 86.2 	 2859.1 +/- 53.1 	 2658.3 +/- 48.5 	 0.0510068 	 0.0527185 	 1.0 
ROS-MDT-BC-01 	 5674 	 2516.42 +/- 49.0512 	 5635.05 	 95 	 2.90231e+07 	 1.59184e+07 	 1.1 	 5150.5 +/- 93.6 	 2824.9 +/- 53.4 	 2064.0 +/- 44.4 	 0.0102483 	 0.0115045 	 2.0 
ROS-MDT-BC-00 	 5496 	 2376.74 +/- 47.0718 	 5635.05 	 95 	 2.76974e+07 	 1.52046e+07 	 1.1 	 4915.2 +/- 88.9 	 2698.2 +/- 51.0 	 1926.3 +/- 38.0 	 0.00960956 	 0.0109093 	 2.0 
ROS-MDT-BA-03 	 5486 	 2487.82 +/- 47.1797 	 5635.05 	 95 	 2.74988e+07 	 1.51598e+07 	 1.1 	 4880.0 +/- 90.7 	 2690.3 +/- 50.2 	 1571.5 +/- 32.6 	 0.0184258 	 0.0199254 	 1.9 
ROS-MDT-BA-02 	 4905 	 2186 +/- 45.0951 	 5635.05 	 95 	 2.51613e+07 	 1.36609e+07 	 1.1 	 4465.1 +/- 87.8 	 2424.3 +/- 49.1 	 1534.7 +/- 31.6 	 0.0225835 	 0.025045 	 1.9 
ROS-MDT-BC-03 	 4818 	 2169.57 +/- 45.0758 	 5635.05 	 95 	 2.49701e+07 	 1.33236e+07 	 1.1 	 4431.2 +/- 88.5 	 2364.4 +/- 48.1 	 1348.5 +/- 30.3 	 0.0591342 	 0.0644451 	 1.9 
ROS-MDT-BC-02 	 4406 	 1961.61 +/- 42.7546 	 5635.05 	 95 	 2.31293e+07 	 1.23232e+07 	 1.1 	 4104.5 +/- 84.8 	 2186.9 +/- 46.6 	 1473.7 +/- 36.9 	 0.064053 	 0.0714091 	 1.9 
ROS-CSC-ECC-00 	 3429 	 1793.33 +/- 49.8097 	 5635.05 	 95 	 2.16715e+07 	 1.05745e+07 	 1.0 	 3845.8 +/- 83.3 	 1876.6 +/- 52.7 	 776.2 +/- 23.4 	 0.0141068 	 0.0147615 	 1.1 
ROS-LAR-FCALC-00 	 1548 	 896.359 +/- 276.339 	 5635.05 	 95 	 1.95023e+07 	 5.31121e+06 	 1.1 	 3460.9 +/- 1105.3 	 942.5 +/- 276.5 	 2777.7 +/- 854.4 	 0.0258929 	 0.0272267 	 1.8 
ROS-LAR-FCALA-00 	 1564 	 616.486 +/- 22.1218 	 5635.05 	 95 	 1.34684e+07 	 3.85448e+06 	 1.1 	 2390.1 +/- 81.1 	 684.0 +/- 23.9 	 1890.0 +/- 74.3 	 0.0109903 	 0.0121942 	 1.9 
ROS-TDQ-CALPP-02 	 7913 	 4230.94 +/- 578.657 	 5635.05 	 95 	 2.38415e+07 	 0 	 0.0 	 4230.9 +/- 578.7 	 0.0 +/- 0.0 	 0.0 +/- 0.0 	 0 	 0.000574288 	 8.0 
ROS-TDQ-MUCTPI-00 	 27216 	 9710.18 +/- 58.9186 	 5635.05 	 95 	 5.47173e+07 	 0 	 0.0 	 9710.2 +/- 58.9 	 0.0 +/- 0.0 	 0.0 +/- 0.0 	 0 	 0.000460337 	 1.0 
ROS-TDQ-CALPP-01 	 7913 	 4230.94 +/- 578.657 	 5635.05 	 95 	 2.38415e+07 	 0 	 0.0 	 4230.9 +/- 578.7 	 0.0 +/- 0.0 	 0.0 +/- 0.0 	 0 	 0.000574288 	 12.0 
ROS-TDQ-CALPP-00 	 7913 	 4230.94 +/- 578.657 	 5635.05 	 95 	 2.38415e+07 	 0 	 0.0 	 4230.9 +/- 578.7 	 0.0 +/- 0.0 	 0.0 +/- 0.0 	 0 	 0.000574288 	 12.0 
