# lxplus: ~sfratina/public/TRT/swIndex.txt, columns:
# barrel only, perhaps order of chips for side C is slightly different in one board
# - straw number 0-1641
# - chip number 0-103
# - layer number 0-2
# - straw layer number 0-29
# - straw number within a layer 0-15
1252  72 2 16 24
1253  72 2 16 23
1254  72 2 16 22
1255  72 2 16 21
1256  73 2 16 20
1257  73 2 16 19
1258  73 2 16 18
1259  73 2 16 17
1260  73 2 16 16
1261  95 2 16 15
1262  95 2 16 14
1263  95 2 16 13
1264  95 2 16 12
1265  96 2 16 11
1266  96 2 16 10
1267  96 2 16  9
1268  96 2 16  8
1269  97 2 16  7
1270  97 2 16  6
1271  97 2 16  5
1272  97 2 16  4
1273  98 2 16  3
1274  98 2 16  2
1275  98 2 16  1
1276  98 2 16  0
1277  72 2 17 26
1278  72 2 17 25
1279  72 2 17 24
1280  72 2 17 23
1281  72 2 17 22
1282  73 2 17 21
1283  73 2 17 20
1284  73 2 17 19
1285  73 2 17 18
1286  73 2 17 17
1287  73 2 17 16
1288  95 2 17 15
1289  95 2 17 14
1290  95 2 17 13
1291  95 2 17 12
1292  96 2 17 11
1293  96 2 17 10
1294  96 2 17  9
1295  97 2 17  8
1296  97 2 17  7
1297  97 2 17  6
1298  97 2 17  5
1299  97 2 17  4
1300  98 2 17  3
1301  98 2 17  2
1302  98 2 17  1
1303  98 2 17  0
1304  75 2 18 26
1305  75 2 18 25
1306  75 2 18 24
1307  72 2 18 23
1308  72 2 18 22
1309  74 2 18 21
1310  74 2 18 20
1311  73 2 18 19
1312  73 2 18 18
1313  94 2 18 17
1314  94 2 18 16
1315  94 2 18 15
1316  94 2 18 14
1317  93 2 18 13
1318  93 2 18 12
1319  93 2 18 11
1320  93 2 18 10
1321  92 2 18  9
1322  92 2 18  8
1323  92 2 18  7
1324  92 2 18  6
1325  91 2 18  5
1326  91 2 18  4
1327  91 2 18  3
1328  90 2 18  2
1329  90 2 18  1
1330  90 2 18  0
1331  75 2 19 26
1332  75 2 19 25
1333  75 2 19 24
1334  75 2 19 23
1335  74 2 19 22
1336  74 2 19 21
1337  74 2 19 20
1338  74 2 19 19
1339  74 2 19 18
1340  94 2 19 17
1341  94 2 19 16
1342  94 2 19 15
1343  94 2 19 14
1344  93 2 19 13
1345  93 2 19 12
1346  93 2 19 11
1347  92 2 19 10
1348  92 2 19  9
1349  92 2 19  8
1350  92 2 19  7
1351  92 2 19  6
1352  91 2 19  5
1353  91 2 19  4
1354  91 2 19  3
1355  91 2 19  2
1356  90 2 19  1
1357  90 2 19  0
1358  75 2 20 27
1359  75 2 20 26
1360  75 2 20 25
1361  75 2 20 24
1362  74 2 20 23
1363  74 2 20 22
1364  74 2 20 21
1365  74 2 20 20
1366  94 2 20 19
1367  94 2 20 18
1368  94 2 20 17
1369  94 2 20 16
1370  94 2 20 15
1371  93 2 20 14
1372  93 2 20 13
1373  93 2 20 12
1374  93 2 20 11
1375  92 2 20 10
1376  92 2 20  9
1377  92 2 20  8
1378  91 2 20  7
1379  91 2 20  6
1380  91 2 20  5
1381  91 2 20  4
1382  91 2 20  3
1383  90 2 20  2
1384  90 2 20  1
1385  90 2 20  0
1386  75 2 21 27
1387  75 2 21 26
1388  75 2 21 25
1389  75 2 21 24
1390  74 2 21 23
1391  74 2 21 22
1392  74 2 21 21
1393  84 2 21 20
1394  85 2 21 19
1395  85 2 21 18
1396  94 2 21 17
1397  94 2 21 16
1398  94 2 21 15
1399  93 2 21 14
1400  93 2 21 13
1401  93 2 21 12
1402  92 2 21 11
1403  92 2 21 10
1404  92 2 21  9
1405  92 2 21  8
1406  91 2 21  7
1407  91 2 21  6
1408  91 2 21  5
1409  88 2 21  4
1410  90 2 21  3
1411  90 2 21  2
1412  90 2 21  1
1413  90 2 21  0
1414  75 2 22 27
1415  76 2 22 26
1416  76 2 22 25
1417  76 2 22 24
1418  74 2 22 23
1419  74 2 22 22
1420  84 2 22 21
1421  84 2 22 20
1422  84 2 22 19
1423  85 2 22 18
1424  85 2 22 17
1425  85 2 22 16
1426  86 2 22 15
1427  86 2 22 14
1428  86 2 22 13
1429  86 2 22 12
1430  87 2 22 11
1431  87 2 22 10
1432  87 2 22  9
1433  87 2 22  8
1434  91 2 22  7
1435  88 2 22  6
1436  88 2 22  5
1437  88 2 22  4
1438  90 2 22  3
1439  90 2 22  2
1440  90 2 22  1
1441  90 2 22  0
1442  76 2 23 27
1443  76 2 23 26
1444  76 2 23 25
1445  76 2 23 24
1446  76 2 23 23
1447  84 2 23 22
1448  84 2 23 21
1449  84 2 23 20
1450  84 2 23 19
1451  85 2 23 18
1452  85 2 23 17
1453  85 2 23 16
1454  86 2 23 15
1455  86 2 23 14
1456  86 2 23 13
1457  86 2 23 12
1458  87 2 23 11
1459  87 2 23 10
1460  87 2 23  9
1461  87 2 23  8
1462  88 2 23  7
1463  88 2 23  6
1464  88 2 23  5
1465  88 2 23  4
1466  89 2 23  3
1467  89 2 23  2
1468  89 2 23  1
1469  89 2 23  0
1470  76 2 24 27
1471  76 2 24 26
1472  76 2 24 25
1473  76 2 24 24
1474  84 2 24 23
1475  84 2 24 22
1476  84 2 24 21
1477  84 2 24 20
1478  85 2 24 19
1479  85 2 24 18
1480  85 2 24 17
1481  85 2 24 16
1482  86 2 24 15
1483  86 2 24 14
1484  86 2 24 13
1485  86 2 24 12
1486  87 2 24 11
1487  87 2 24 10
1488  87 2 24  9
1489  87 2 24  8
1490  88 2 24  7
1491  88 2 24  6
1492  88 2 24  5
1493  89 2 24  4
1494  89 2 24  3
1495  89 2 24  2
1496  89 2 24  1
1497  89 2 24  0
1498  76 2 25 28
1499  76 2 25 27
1500  76 2 25 26
1501  84 2 25 25
1502  84 2 25 24
1503  84 2 25 23
1504  82 2 25 22
1505  84 2 25 21
1506  85 2 25 20
1507  85 2 25 19
1508  85 2 25 18
1509  85 2 25 17
1510  86 2 25 16
1511  86 2 25 15
1512  86 2 25 14
1513  86 2 25 13
1514  87 2 25 12
1515  87 2 25 11
1516  87 2 25 10
1517  87 2 25  9
1518  88 2 25  8
1519  88 2 25  7
1520  88 2 25  6
1521  89 2 25  5
1522  89 2 25  4
1523  89 2 25  3
1524  89 2 25  2
1525  89 2 25  1
1526  77 2 25  0
1527  76 2 26 28
1528  83 2 26 27
1529  83 2 26 26
1530  83 2 26 25
1531  82 2 26 24
1532  82 2 26 23
1533  82 2 26 22
1534  82 2 26 21
1535  81 2 26 20
1536  81 2 26 19
1537  81 2 26 18
1538  81 2 26 17
1539  80 2 26 16
1540  80 2 26 15
1541  80 2 26 14
1542  80 2 26 13
1543  79 2 26 12
1544  79 2 26 11
1545  79 2 26 10
1546  79 2 26  9
1547  88 2 26  8
1548  88 2 26  7
1549  78 2 26  6
1550  78 2 26  5
1551  78 2 26  4
1552  89 2 26  3
1553  89 2 26  2
1554  77 2 26  1
1555  77 2 26  0
1556  83 2 27 28
1557  83 2 27 27
1558  83 2 27 26
1559  83 2 27 25
1560  83 2 27 24
1561  82 2 27 23
1562  82 2 27 22
1563  82 2 27 21
1564  81 2 27 20
1565  81 2 27 19
1566  81 2 27 18
1567  81 2 27 17
1568  80 2 27 16
1569  80 2 27 15
1570  80 2 27 14
1571  80 2 27 13
1572  79 2 27 12
1573  79 2 27 11
1574  79 2 27 10
1575  79 2 27  9
1576  78 2 27  8
1577  78 2 27  7
1578  78 2 27  6
1579  78 2 27  5
1580  78 2 27  4
1581  77 2 27  3
1582  77 2 27  2
1583  77 2 27  1
1584  77 2 27  0
1585  83 2 28 28
1586  83 2 28 27
1587  83 2 28 26
1588  83 2 28 25
1589  82 2 28 24
1590  82 2 28 23
1591  82 2 28 22
1592  82 2 28 21
1593  81 2 28 20
1594  81 2 28 19
1595  81 2 28 18
1596  81 2 28 17
1597  80 2 28 16
1598  80 2 28 15
1599  80 2 28 14
1600  80 2 28 13
1601  79 2 28 12
1602  79 2 28 11
1603  79 2 28 10
1604  79 2 28  9
1605  78 2 28  8
1606  78 2 28  7
1607  78 2 28  6
1608  78 2 28  5
1609  77 2 28  4
1610  77 2 28  3
1611  77 2 28  2
1612  77 2 28  1
1613  77 2 28  0
1614  83 2 29 27
1615  83 2 29 26
1616  83 2 29 25
1617  83 2 29 24
1618  82 2 29 23
1619  82 2 29 22
1620  82 2 29 21
1621  82 2 29 20
1622  81 2 29 19
1623  81 2 29 18
1624  81 2 29 17
1625  81 2 29 16
1626  80 2 29 15
1627  80 2 29 14
1628  80 2 29 13
1629  80 2 29 12
1630  79 2 29 11
1631  79 2 29 10
1632  79 2 29  9
1633  79 2 29  8
1634  78 2 29  7
1635  78 2 29  6
1636  78 2 29  5
1637  78 2 29  4
1638  77 2 29  3
1639  77 2 29  2
1640  77 2 29  1
1641  77 2 29  0
